ID;Jugador;Nacionalidad;Posicion;Equipo;Liga;Edad;Nacimiento;Partidos;Partidos-titular;Minutos;Goles;Asistencias;G+A;Gol-Penal;Amarillas;Rojas;Goles-esperados;xAG
498;Zeki Çelik;tr TUR;DF;Roma;it Serie A;26;1997;17;6;671;0;0;0;0;1;0;0.2;0.6
499;Álex Centelles;es ESP;DF;Almería;es La Liga;25;1997;14;11;980;0;1;1;0;2;0;0.0;1.6
500;Fabien Centonze;fr FRA;DF;Hellas Verona;it Serie A;27;1996;10;7;676;0;1;1;0;2;0;0.0;1.0
501;Fabien Centonze;fr FRA;DF;Nantes;fr Ligue 1;27;1996;3;1;94;0;0;0;0;1;0;0.0;0.0
502;Václav Černý;cz CZE;FW,MF;Wolfsburg;de Bundesliga;25;1997;22;12;921;4;1;5;4;2;0;2.3;0.9
503;Michele Cerofolini;it ITA;GK;Frosinone;it Serie A;24;1999;8;7;675;0;0;0;0;1;0;0.0;0.0
504;Alberto Cerri;it ITA;FW;Empoli;it Serie A;27;1996;12;10;545;1;0;1;1;2;0;1.2;0.2
505;Leonardo Cerri;it ITA;DF;Juventus;it Serie A;20;2003;1;0;7;0;0;0;0;0;0;0.0;0.0
506;Franco Cervi;ar ARG;MF,DF;Celta Vigo;es La Liga;29;1994;17;5;546;0;1;1;0;2;0;0.5;2.0
507;Julian Chabot;de GER;DF;Köln;de Bundesliga;25;1998;32;32;2703;0;0;0;0;9;1;1.4;0.4
508;El Chadaille Bitshiabu;fr FRA;DF,MF;RB Leipzig;de Bundesliga;18;2005;6;0;34;0;0;0;0;0;0;0.0;0.0
509;Fares Chaïbi;dz ALG;FW,MF;Toulouse;fr Ligue 1;20;2002;2;0;58;0;1;1;0;1;0;0.0;0.2
510;Fares Chaïbi;dz ALG;MF,FW;Eint Frankfurt;de Bundesliga;20;2002;28;21;1912;2;4;6;2;2;0;3.1;6.8
511;Trevoh Chalobah;eng ENG;DF;Chelsea;eng Premier League;24;1999;13;10;952;1;0;1;1;1;0;0.2;0.1
512;Muhammed Cham;at AUT;MF,FW;Clermont Foot;fr Ligue 1;22;2000;33;29;2554;8;4;12;4;4;0;9.4;3.1
513;Calum Chambers;eng ENG;MF,DF;Aston Villa;eng Premier League;28;1995;5;1;152;0;1;1;0;1;0;0.0;0.1
514;Timothy Chandler;us USA;MF,DF;Eint Frankfurt;de Bundesliga;33;1990;6;0;18;0;1;1;0;0;0;0.1;0.1
515;Brendan Chardonnet;fr FRA;DF;Brest;fr Ligue 1;28;1994;33;33;2970;1;1;2;1;4;0;1.5;1.6
516;Charlys;br BRA;MF;Hellas Verona;it Serie A;19;2004;2;0;25;0;0;0;0;0;0;0.0;0.0
517;Pep Chavarría;es ESP;DF,MF;Rayo Vallecano;es La Liga;25;1998;22;12;1167;1;1;2;1;6;1;1.0;0.7
518;Jhoanner Chávez;ec ECU;DF;Lens;fr Ligue 1;21;2002;8;6;481;0;0;0;0;1;0;0.3;0.5
519;Walid Cheddira;ma MAR;FW;Frosinone;it Serie A;25;1998;36;24;2120;7;1;8;6;0;0;9.0;1.4
520;Rayan Cherki;fr FRA;MF,FW;Lyon;fr Ligue 1;19;2003;33;19;1719;1;6;7;1;0;0;5.2;4.2
521;Youssef Chermiti;pt POR;FW;Everton;eng Premier League;19;2004;18;1;208;0;0;0;0;3;0;0.7;0.8
522;Lucas Chevalier;fr FRA;GK;Lille;fr Ligue 1;21;2001;33;33;2969;0;0;0;0;1;0;0.0;0.1
523;Fabio Chiarodia;it ITA;DF;Gladbach;de Bundesliga;18;2005;7;1;152;0;0;0;0;0;0;0.0;0.1
524;Federico Chiesa;it ITA;FW;Juventus;it Serie A;25;1997;33;25;2197;9;2;11;8;1;0;6.4;6.2
525;Ben Chilwell;eng ENG;DF;Chelsea;eng Premier League;26;1996;13;9;756;0;1;1;0;5;0;1.2;2.2
526;Tawanda Chirewa;zw ZIM;MF,FW;Wolves;eng Premier League;19;2003;8;1;145;0;0;0;0;1;0;0.2;0.0
527;Pedro Chirivella;es ESP;MF;Nantes;fr Ligue 1;26;1997;32;31;2594;1;1;2;1;5;0;1.5;1.1
528;Leon Chiwome;eng ENG;FW;Wolves;eng Premier League;17;2006;3;2;174;0;0;0;0;0;0;0.1;0.0
529;Tahith Chong;nl NED;MF,FW;Luton Town;eng Premier League;23;1999;33;20;1982;4;0;4;4;4;0;2.7;0.5
530;Joris Chotard;fr FRA;MF;Montpellier;fr Ligue 1;21;2001;31;30;2587;0;3;3;0;5;0;0.6;1.9
531;Andreas Christensen;dk DEN;DF,MF;Barcelona;es La Liga;27;1996;30;27;1979;2;2;4;2;4;0;1.0;1.1
532;Jacob Christensen;dk DEN;MF;Köln;de Bundesliga;22;2001;7;2;219;0;0;0;0;1;0;0.0;0.1
533;Oliver Christensen;dk DEN;GK;Fiorentina;it Serie A;24;1999;4;4;360;0;0;0;0;0;0;0.0;0.0
534;Ryan Christie;sct SCO;MF;Bournemouth;eng Premier League;28;1995;37;35;2907;0;5;5;0;6;0;2.3;5.4
535;Carney Chukwuemeka;eng ENG;MF,FW;Chelsea;eng Premier League;19;2003;9;2;227;1;1;2;1;2;0;0.2;0.3
536;Samuel Chukwueze;ng NGA;FW;Milan;it Serie A;24;1999;24;12;1017;1;3;4;1;1;0;1.7;2.3
537;Chumi;es ESP;DF;Almería;es La Liga;24;1999;31;26;2434;0;1;1;0;4;0;1.0;1.4
538;Víctor Chust;es ESP;DF;Cádiz;es La Liga;23;2000;22;22;1864;0;1;1;0;3;2;0.3;0.3
539;Pathé Ciss;sn SEN;MF;Rayo Vallecano;es La Liga;29;1994;31;16;1664;1;0;1;1;10;0;1.5;0.5
540;Alphadjo Cissè;it ITA;FW;Hellas Verona;it Serie A;16;2006;1;0;8;0;0;0;0;0;0;0.0;0.0
541;Djaoui Cissé;fr FRA;MF;Rennes;fr Ligue 1;19;2004;2;0;4;0;0;0;0;0;0;0.0;0.0
542;Ibrahim Cissoko;nl NED;FW,MF;Toulouse;fr Ligue 1;20;2003;11;2;241;1;1;2;1;1;0;0.8;0.4
543;Giorgio Cittadini;it ITA;DF;Monza;it Serie A;21;2002;1;0;15;0;0;0;0;1;0;0.0;0.0
544;Giorgio Cittadini;it ITA;DF;Genoa;it Serie A;21;2002;5;1;106;0;0;0;0;0;0;0.0;0.0
545;Patrick Ciurria;it ITA;DF,MF;Monza;it Serie A;28;1995;22;18;1598;0;1;1;0;2;0;1.5;2.6
546;Bobby Clark;eng ENG;MF;Liverpool;eng Premier League;18;2005;5;1;89;0;0;0;0;0;0;0.1;0.0
547;Jordan Clark;eng ENG;MF;Luton Town;eng Premier League;29;1993;23;14;1304;1;1;2;1;4;0;1.0;1.3
548;Alexis Claude-Maurice;fr FRA;MF;Nice;fr Ligue 1;25;1998;18;4;504;0;0;0;0;1;0;0.8;0.3
549;Jonathan Clauss;fr FRA;DF;Marseille;fr Ligue 1;30;1992;27;25;2068;3;4;7;3;2;1;1.3;4.6
550;Silvi Clúa;es ESP;MF;Girona;es La Liga;18;2005;1;0;1;0;0;0;0;0;0;0.0;0.0
551;Nathaniel Clyne;eng ENG;DF;Crystal Palace;eng Premier League;32;1991;19;14;1338;0;0;0;0;0;0;0.2;0.2
552;Marcus Coco;fr FRA;DF,FW;Nantes;fr Ligue 1;27;1996;28;18;1481;1;0;1;1;2;0;0.8;1.0
553;Saúl Coco;gq EQG;DF;Las Palmas;es La Liga;24;1999;30;26;2295;1;0;1;1;6;1;1.1;0.0
554;Séamus Coleman;ie IRL;DF;Everton;eng Premier League;34;1988;12;7;665;0;0;0;0;0;0;0.0;1.0
555;Maxime Colin;fr FRA;DF;Metz;fr Ligue 1;31;1991;22;22;1832;0;0;0;0;3;0;0.3;0.4
556;Nathan Collins;ie IRL;DF;Brentford;eng Premier League;22;2001;32;29;2652;1;1;2;1;3;0;1.7;2.2
557;Nnamdi Collins;de GER;DF;Eint Frankfurt;de Bundesliga;19;2004;2;1;90;0;0;0;0;0;0;0.0;0.0
558;Lorenzo Colombo;it ITA;FW;Monza;it Serie A;21;2002;25;16;1359;4;1;5;4;3;0;3.6;0.6
559;Andrea Colpani;it ITA;MF,FW;Monza;it Serie A;24;1999;38;36;2657;8;4;12;8;1;0;4.8;5.0
560;Levi Colwill;eng ENG;DF;Chelsea;eng Premier League;20;2003;23;20;1797;1;1;2;1;2;0;1.3;1.2
561;Kingsley Coman;fr FRA;FW;Bayern Munich;de Bundesliga;27;1996;17;15;1113;3;3;6;3;1;0;2.8;3.8
562;Eray Cömert;ch SUI;DF;Nantes;fr Ligue 1;25;1998;25;23;1995;2;0;2;2;5;0;0.7;0.2
563;Santi Comesaña;es ESP;MF;Villarreal;es La Liga;26;1996;27;20;1653;2;0;2;2;8;2;1.9;2.0
564;Pietro Comuzzo;it ITA;DF,FW;Fiorentina;it Serie A;18;2005;4;0;43;0;0;0;0;1;0;0.0;0.0
565;Alois Confais;fr FRA;MF,FW;Le Havre;fr Ligue 1;26;1996;2;0;7;0;0;0;0;0;0;0.0;0.0
566;Andrea Consigli;it ITA;GK;Sassuolo;it Serie A;36;1987;35;35;3150;0;0;0;0;1;0;0.0;0.0
567;Bambasé Conté;de GER;MF,FW;Hoffenheim;de Bundesliga;20;2003;7;0;48;0;0;0;0;0;0;0.2;0.0
568;Nikita Contini Baranovsky;it ITA;GK;Napoli;it Serie A;27;1996;1;0;17;0;0;0;0;0;0;0.0;0.0
569;Lewis Cook;eng ENG;MF;Bournemouth;eng Premier League;26;1997;33;32;2786;0;3;3;0;5;1;0.4;4.3
570;Copete;es ESP;DF;Mallorca;es La Liga;23;1999;19;17;1333;1;1;2;1;7;0;0.5;0.8
571;Diego Coppola;it ITA;DF;Hellas Verona;it Serie A;19;2003;24;18;1634;2;0;2;2;9;0;1.2;0.2
572;Francis Coquelin;fr FRA;MF;Villarreal;es La Liga;32;1991;17;10;910;0;0;0;0;4;0;0.1;0.1
573;Tommaso Corazza;it ITA;DF;Bologna;it Serie A;19;2004;9;1;195;0;0;0;0;1;0;0.1;0.1
574;Theo Corbeanu;ca CAN;MF,FW;Granada;es La Liga;21;2002;9;2;182;1;0;1;1;2;0;0.3;0.0
575;Jeppe Corfitzen;dk DEN;FW;Lecce;it Serie A;18;2004;1;0;9;0;0;0;0;0;0;0.0;0.0
576;Jack Cork;eng ENG;MF;Burnley;eng Premier League;34;1989;4;0;27;0;0;0;0;0;0;0.0;0.0
577;Maxwel Cornet;ci CIV;MF,FW;West Ham;eng Premier League;26;1996;7;1;112;1;0;1;1;0;0;0.4;0.2
578;Giacomo Corona;it ITA;FW;Empoli;it Serie A;19;2004;1;0;5;0;0;0;0;0;0;0.0;0.0
579;Jesús Corona;mx MEX;MF,DF;Sevilla;es La Liga;30;1993;2;0;17;0;0;0;0;0;0;0.0;0.0
580;Ángel Correa;ar ARG;FW,MF;Atlético Madrid;es La Liga;28;1995;32;14;1528;9;2;11;8;3;0;7.9;3.6
581;Joaquín Correa;ar ARG;FW,MF;Marseille;fr Ligue 1;28;1994;12;6;430;0;0;0;0;2;0;0.6;0.7
582;Thierry Correia;pt POR;DF;Valencia;es La Liga;24;1999;31;25;2154;0;2;2;0;4;1;0.6;2.1
583;Oscar Cortés;co COL;FW,MF;Lens;fr Ligue 1;19;2003;4;0;44;1;1;2;1;0;0;0.5;0.7
584;Danny da Costa;de GER;DF;Mainz 05;de Bundesliga;30;1993;19;9;830;0;1;1;0;1;0;0.3;1.2
585;David Pereira da Costa;pt POR;MF;Lens;fr Ligue 1;22;2001;25;17;1494;4;2;6;4;3;0;3.0;3.5
586;Jaume Costa;es ESP;DF;Mallorca;es La Liga;35;1988;30;19;1682;0;1;1;0;7;0;0.3;1.2
587;João Costa;br BRA;MF,FW;Roma;it Serie A;18;2005;3;0;14;0;0;0;0;1;0;0.0;0.0
588;Logan Costa;cv CPV;DF;Toulouse;fr Ligue 1;22;2001;31;29;2650;1;1;2;1;6;0;1.4;0.6
589;Samu Costa;pt POR;MF;Mallorca;es La Liga;22;2000;34;26;2303;1;1;2;1;8;0;1.1;0.5
590;Benoît Costil;fr FRA;GK;Salernitana;it Serie A;36;1987;13;13;1170;0;0;0;0;0;0;0.0;0.0
591;Grégoire Coudert;fr FRA;GK;Brest;fr Ligue 1;24;1999;3;2;181;0;0;0;0;0;0;0.0;0.0
592;Vladimír Coufal;cz CZE;DF;West Ham;eng Premier League;30;1992;36;36;3132;0;7;7;0;7;1;0.3;4.0
593;Lassana Coulibaly;ml MLI;MF;Salernitana;it Serie A;27;1996;28;25;2082;0;1;1;0;5;0;0.6;0.8
594;Mamadou Coulibaly;sn SEN;DF;Salernitana;it Serie A;24;1999;1;0;3;0;0;0;0;0;0;0.0;0.0
595;Mamadou Coulibaly;fr FRA;MF;Monaco;fr Ligue 1;19;2004;5;1;118;0;0;0;0;0;0;0.2;0.1
596;Tanguy Coulibaly;fr FRA;FW,MF;Montpellier;fr Ligue 1;22;2001;16;7;623;1;0;1;1;2;0;2.6;0.8
597;Thibaut Courtois;be BEL;GK;Real Madrid;es La Liga;31;1992;4;4;332;0;0;0;0;0;0;0.0;0.1
598;Philippe Coutinho;br BRA;MF,FW;Aston Villa;eng Premier League;31;1992;2;0;25;0;0;0;0;0;0;0.1;0.0
599;Yan Couto;br BRA;DF,FW;Girona;es La Liga;21;2002;34;24;2245;1;8;9;1;8;0;1.5;4.2
600;Nicolas Cozza;fr FRA;DF;Nantes;fr Ligue 1;24;1999;13;10;895;0;0;0;0;2;0;0.7;0.6
601;Nicolas Cozza;fr FRA;DF;Wolfsburg;de Bundesliga;24;1999;6;3;276;0;0;0;0;1;0;0.0;0.1
602;Alessio Cragno;it ITA;GK;Sassuolo;it Serie A;29;1994;3;3;270;0;0;0;0;0;0;0.0;0.0
603;Crespo;pt POR;MF;Rayo Vallecano;es La Liga;26;1996;15;4;527;0;0;0;0;4;0;0.1;1.0
604;Aaron Cresswell;eng ENG;DF,FW;West Ham;eng Premier League;33;1989;11;4;436;0;0;0;0;1;0;0.0;0.4
605;Bryan Cristante;it ITA;MF,DF;Roma;it Serie A;28;1995;37;37;3289;3;4;7;3;8;0;4.0;2.9
606;Cristian;es ESP;GK;Valencia;es La Liga;25;1998;1;0;57;0;0;0;0;0;0;0.0;0.0
607;Juan Cruz Armada;es ESP;DF;Osasuna;es La Liga;31;1992;26;18;1667;0;1;1;0;3;0;0.0;0.4
608;Juan Cruz;ar ARG;FW,MF;Hellas Verona;it Serie A;24;1999;4;1;109;0;0;0;0;0;0;0.0;0.1
609;Juan Cruz;es ESP;FW;Betis;es La Liga;23;2000;5;0;76;0;0;0;0;0;0;0.1;0.0
610;Juan Cuadrado;co COL;DF;Inter;it Serie A;35;1988;10;0;267;0;2;2;0;1;0;0.2;1.6
611;Pau Cubarsí;es ESP;DF;Barcelona;es La Liga;16;2007;19;18;1558;0;0;0;0;4;0;0.1;0.4
612;Marc Cucurella;es ESP;DF;Chelsea;eng Premier League;25;1998;21;20;1782;0;2;2;0;10;0;1.1;1.1
613;Iván Cuéllar;es ESP;GK;Mallorca;es La Liga;39;1984;1;1;90;0;0;0;0;0;0;0.0;0.0
614;Jorge Cuenca;es ESP;DF;Villarreal;es La Liga;23;1999;29;21;1963;3;1;4;3;7;0;1.2;0.2
615;Josh Cullen;ie IRL;MF;Burnley;eng Premier League;27;1996;25;23;2057;2;3;5;2;9;0;0.6;1.8
616;Matheus Cunha;br BRA;FW,MF;Wolves;eng Premier League;24;1999;32;29;2440;12;7;19;11;9;0;9.5;3.2
617;Marvin Cuni;al ALB;FW;Frosinone;it Serie A;22;2001;22;6;534;1;0;1;1;0;0;1.3;0.3
618;Eric Curbelo;es ESP;DF,MF;Las Palmas;es La Liga;29;1994;2;1;102;0;0;0;0;0;0;0.0;0.0
619;Sam Curtis;ie IRL;DF;Sheffield Utd;eng Premier League;17;2005;1;0;28;0;0;0;0;0;0;0.0;0.0
620;Tomáš Čvančara;cz CZE;FW;Gladbach;de Bundesliga;22;2000;21;7;896;4;1;5;3;4;0;5.9;0.7
621;Danilo D'Ambrosio;it ITA;DF;Monza;it Serie A;34;1988;24;16;1536;0;0;0;0;5;1;0.7;0.2
622;Alberto Dadie;es ESP;MF;Real Sociedad;es La Liga;21;2002;1;0;28;0;0;0;0;0;0;0.0;0.0
623;Trévis Dago;ci CIV;FW,MF;Lille;fr Ligue 1;18;2005;4;0;23;0;1;1;0;1;0;0.0;0.4
624;Finn Dahmen;de GER;GK;Augsburg;de Bundesliga;25;1998;31;31;2790;0;0;0;0;4;0;0.0;0.1
625;Mahmoud Dahoud;de GER;MF;Brighton;eng Premier League;27;1996;9;6;452;0;1;1;0;1;1;0.2;0.9
626;Mahmoud Dahoud;de GER;MF;Stuttgart;de Bundesliga;27;1996;13;1;227;1;0;1;1;0;0;0.6;0.5
627;Ameen Al-Dakhil;be BEL;DF;Burnley;eng Premier League;21;2002;13;12;1056;1;0;1;1;1;0;1.3;0.1
628;Thijs Dallinga;nl NED;FW;Toulouse;fr Ligue 1;22;2000;33;28;2510;14;2;16;13;6;0;14.1;1.2
629;Diogo Dalot;pt POR;DF;Manchester Utd;eng Premier League;24;1999;36;35;3174;2;3;5;2;6;1;1.7;2.9
630;Mikkel Damsgaard;dk DEN;MF;Brentford;eng Premier League;23;2000;23;7;842;0;2;2;0;2;0;0.9;1.4
631;Flavius Daniliuc;at AUT;DF;Salernitana;it Serie A;22;2001;14;8;744;0;0;0;0;2;0;0.2;0.2
632;Danilo;br BRA;MF;Nott'ham Forest;eng Premier League;22;2001;29;20;1792;2;2;4;2;4;0;1.8;1.5
633;Danilo;br BRA;DF;Juventus;it Serie A;32;1991;29;27;2452;1;1;2;1;7;0;1.3;0.9
634;Arnaut Danjuma;nl NED;MF,FW;Everton;eng Premier League;26;1997;14;5;595;1;0;1;1;0;0;2.6;1.1
635;Jayden Danns;eng ENG;FW;Liverpool;eng Premier League;17;2006;2;0;9;0;0;0;0;1;0;0.0;0.0
636;Kevin Danso;at AUT;DF;Lens;fr Ligue 1;24;1998;30;30;2655;1;0;1;1;6;0;1.8;0.4
637;Dante;br BRA;DF;Nice;fr Ligue 1;39;1983;32;32;2843;1;1;2;1;5;1;0.9;1.0
638;Raimane Daou;km COM;DF,MF;Marseille;fr Ligue 1;18;2004;1;0;25;0;0;0;0;0;0;0.0;0.0
639;Mohammed Daramy;dk DEN;FW,MF;Reims;fr Ligue 1;21;2002;25;19;1648;4;5;9;3;0;0;4.6;2.4
640;Sergi Darder;es ESP;MF;Mallorca;es La Liga;29;1993;36;21;2157;2;5;7;2;4;0;2.2;6.4
641;Achraf Dari;ma MAR;DF,FW;Brest;fr Ligue 1;24;1999;4;1;121;0;0;0;0;0;0;0.0;0.0
642;Matteo Darmian;it ITA;DF;Inter;it Serie A;33;1989;33;27;2404;2;1;3;2;2;0;1.2;1.8
643;Lukas Daschner;de GER;MF,FW;Bochum;de Bundesliga;24;1998;20;3;536;1;1;2;1;2;0;2.3;1.0
644;Josh Dasilva;eng ENG;DF,FW;Brentford;eng Premier League;24;1998;3;0;24;0;0;0;0;0;0;0.0;0.2
645;David Datro Fofana;ci CIV;FW;Burnley;eng Premier League;20;2002;15;10;879;4;1;5;4;1;0;4.5;1.8
646;David Datro Fofana;ci CIV;FW,MF;Union Berlin;de Bundesliga;20;2002;12;8;682;1;0;1;1;0;0;2.8;0.3
647;Juan David Cabal;co COL;DF;Hellas Verona;it Serie A;22;2001;22;17;1497;0;0;0;0;6;0;0.5;0.4
648;Jonathan David;ca CAN;FW;Lille;fr Ligue 1;23;2000;34;30;2629;19;4;23;17;4;0;17.5;3.3
649;Alphonso Davies;ca CAN;DF;Bayern Munich;de Bundesliga;22;2000;29;24;2065;2;5;7;2;0;0;1.0;2.9
650;Ben Davies;wls WAL;DF;Tottenham;eng Premier League;30;1993;17;12;1090;1;0;1;1;2;0;2.3;0.4
651;Tom Davies;eng ENG;MF;Sheffield Utd;eng Premier League;25;1998;9;2;221;0;0;0;0;2;0;0.4;0.1
652;Keinan Davis;eng ENG;FW,MF;Udinese;it Serie A;25;1998;8;0;186;1;0;1;1;2;0;0.5;0.1
653;Paweł Dawidowicz;pl POL;DF;Hellas Verona;it Serie A;28;1995;28;25;2143;0;0;0;0;5;0;0.5;0.0
654;Craig Dawson;eng ENG;DF;Wolves;eng Premier League;33;1990;25;25;2209;1;1;2;1;7;0;1.5;1.4
655;Kevin De Bruyne;be BEL;MF;Manchester City;eng Premier League;32;1991;18;15;1221;4;10;14;4;2;0;2.4;11.5
656;Charles De Ketelaere;be BEL;FW,MF;Atalanta;it Serie A;22;2001;35;25;2026;10;8;18;9;1;0;7.1;6.1
657;Rodrigo De Paul;ar ARG;MF;Atlético Madrid;es La Liga;29;1994;34;25;2075;3;5;8;3;7;0;1.8;5.0
658;Mattia De Sciglio;it ITA;DF;Juventus;it Serie A;30;1992;1;1;45;0;0;0;0;0;0;0.0;0.0
659;Lorenzo De Silvestri;it ITA;DF;Bologna;it Serie A;35;1988;15;7;674;2;0;2;2;0;0;0.2;0.0
660;Thibault De Smet;be BEL;DF;Reims;fr Ligue 1;25;1998;27;22;1831;0;0;0;0;7;1;0.3;0.8
661;Koni De Winter;be BEL;DF;Genoa;it Serie A;21;2002;29;26;2380;0;1;1;0;8;1;0.8;1.0
662;Grégoire Defrel;mq MTQ;FW,MF;Sassuolo;it Serie A;32;1991;20;7;757;1;2;3;1;0;0;1.0;1.2
663;Alessandro Deiola;it ITA;MF;Cagliari;it Serie A;27;1995;27;19;1608;1;0;1;1;7;0;2.5;0.9
664;Romain Del Castillo;fr FRA;FW;Brest;fr Ligue 1;27;1996;33;30;2497;8;8;16;5;4;0;5.2;9.9
665;Thomas Delaine;fr FRA;DF,MF;Strasbourg;fr Ligue 1;31;1992;27;24;2044;1;1;2;1;5;0;1.7;3.6
666;Sacha Delaye;fr FRA;MF,FW;Montpellier;fr Ligue 1;21;2002;9;0;130;0;0;0;0;1;0;0.3;0.1
667;Hannes Delcroix;be BEL;DF;Burnley;eng Premier League;24;1999;12;5;589;0;0;0;0;2;0;0.4;0.2
668;Alessandro Dellavalle;it ITA;DF;Torino;it Serie A;19;2004;1;0;15;0;0;0;0;0;0;0.0;0.0
669;Olivier Deman;be BEL;DF;Werder Bremen;de Bundesliga;23;2000;29;14;1365;2;1;3;2;5;0;1.1;0.9
670;Karamoko Dembélé;eng ENG;MF,FW;Brest;fr Ligue 1;20;2003;1;0;16;0;0;0;0;0;0;0.0;0.0
671;Ousmane Dembélé;fr FRA;MF,FW;Paris S-G;fr Ligue 1;26;1997;26;17;1506;3;8;11;3;0;0;4.4;6.7
672;Jessy Deminguet;fr FRA;MF,FW;Strasbourg;fr Ligue 1;25;1998;18;9;690;0;0;0;0;1;0;0.3;0.4
673;Ermedin Demirović;ba BIH;FW,MF;Augsburg;de Bundesliga;25;1998;33;33;2873;15;9;24;12;7;0;13.5;3.9
674;Diego Demme;de GER;MF;Napoli;it Serie A;31;1991;2;1;73;0;0;0;0;1;0;0.0;0.0
675;Sepp van den Berg;nl NED;DF;Mainz 05;de Bundesliga;21;2001;33;31;2839;3;0;3;3;9;0;2.7;0.3
676;Leander Dendoncker;be BEL;MF;Aston Villa;eng Premier League;28;1995;8;1;119;1;0;1;1;0;0;0.7;0.0
677;Leander Dendoncker;be BEL;MF;Napoli;it Serie A;28;1995;3;0;24;0;0;0;0;0;0;0.0;0.0
678;Rémy Descamps;fr FRA;GK;Nantes;fr Ligue 1;27;1996;6;6;540;0;0;0;0;1;0;0.0;0.0
679;Mikkel Desler;dk DEN;DF;Toulouse;fr Ligue 1;28;1995;24;19;1544;0;1;1;0;2;0;1.1;0.7
680;Arthur Desmas;fr FRA;GK;Le Havre;fr Ligue 1;29;1994;33;33;2970;0;0;0;0;2;0;0.0;0.4
681;Mattia Destro;it ITA;FW,MF;Empoli;it Serie A;32;1991;15;3;366;0;0;0;0;2;0;1.2;0.3
682;Samuele Di Benedetto;de GER;MF;Stuttgart;de Bundesliga;18;2005;1;0;7;0;0;0;0;0;0;0.0;0.0
683;Federico Di Francesco;it ITA;FW,MF;Lecce;it Serie A;29;1994;2;0;15;1;0;1;1;0;0;0.1;0.0
684;Raffaele Di Gennaro;it ITA;GK;Inter;it Serie A;29;1993;1;0;23;0;0;0;0;0;0;0.0;0.0
685;Michele Di Gregorio;it ITA;GK;Monza;it Serie A;26;1997;33;33;2872;0;0;0;0;0;0;0.0;0.0
686;Giovanni Di Lorenzo;it ITA;DF;Napoli;it Serie A;29;1993;36;36;3234;1;6;7;1;6;0;3.1;4.9
687;Alessandro Di Pardo;it ITA;DF,MF;Cagliari;it Serie A;24;1999;15;2;359;0;0;0;0;0;0;0.1;0.2
688;Boulaye Dia;sn SEN;FW,MF;Salernitana;it Serie A;26;1996;17;12;1143;4;0;4;3;1;0;3.9;0.5
689;Moussa Diaby;fr FRA;FW,MF;Aston Villa;eng Premier League;24;1999;38;25;2174;6;8;14;6;1;0;7.0;6.6
690;Lamine Diack;sn SEN;MF;Nantes;fr Ligue 1;22;2000;1;0;1;0;0;0;0;0;0;0.0;0.0
691;Mouctar Diakhaby;gn GUI;DF,MF;Valencia;es La Liga;26;1996;14;12;1073;1;0;1;1;6;0;0.7;0.0
692;Mamadou Diakhon;fr FRA;FW,MF;Reims;fr Ligue 1;17;2005;11;1;209;0;0;0;0;0;0;0.0;0.2
693;Bafodé Diakité;fr FRA;DF;Lille;fr Ligue 1;22;2001;21;19;1696;5;2;7;5;4;0;2.0;1.4
694;Ibrahim Diakité;gn GUI;DF;Reims;fr Ligue 1;19;2003;5;1;109;0;0;0;0;0;0;0.0;0.2
695;Moussa Diakité;ml MLI;MF;Cádiz;es La Liga;19;2003;1;0;1;0;0;0;0;0;0;0.0;0.0
696;Oumar Diakité;ci CIV;FW;Reims;fr Ligue 1;19;2003;28;18;1585;5;1;6;5;4;0;7.0;1.3
697;Amad Diallo;ci CIV;FW,MF;Manchester Utd;eng Premier League;21;2002;9;3;390;1;1;2;1;1;0;0.5;1.1
698;Amadou Diallo;eng ENG;MF;Newcastle Utd;eng Premier League;20;2003;1;0;1;0;0;0;0;0;0;0.0;0.0
699;Assane Diao;es ESP;FW;Betis;es La Liga;17;2005;18;13;1048;2;0;2;2;4;0;2.5;0.7
700;Habib Diarra;sn SEN;MF,FW;Strasbourg;fr Ligue 1;19;2004;31;28;2305;3;1;4;2;3;0;3.4;1.3
701;Moussa Diarra;ml MLI;DF;Toulouse;fr Ligue 1;22;2000;22;15;1397;1;2;3;1;5;0;0.5;1.1
702;Rúben Dias;pt POR;DF;Manchester City;eng Premier League;26;1997;30;28;2559;0;0;0;0;0;0;1.4;0.3
703;Krépin Diatta;sn SEN;DF,FW;Monaco;fr Ligue 1;24;1999;26;12;1206;0;2;2;0;2;0;0.5;1.8
704;Mory Diaw;sn SEN;GK;Clermont Foot;fr Ligue 1;30;1993;30;30;2700;0;0;0;0;3;0;0.0;0.1
705;Mahamadou Diawara;fr FRA;MF;Lyon;fr Ligue 1;18;2005;11;4;358;0;0;0;0;2;0;0.7;0.1
706;Brahim Díaz;ma MAR;FW,MF;Real Madrid;es La Liga;23;1999;31;18;1545;8;6;14;8;0;0;5.7;4.4
707;Luis Díaz;co COL;FW;Liverpool;eng Premier League;26;1997;37;32;2629;8;5;13;8;3;0;11.9;5.7
708;Víctor Díaz;es ESP;DF,MF;Granada;es La Liga;35;1988;4;2;162;0;0;0;0;1;0;0.0;0.0
709;Famara Diedhiou;sn SEN;FW,MF;Granada;es La Liga;30;1992;8;0;89;0;1;1;0;1;0;0.5;0.2
710;Justin Diehl;de GER;FW,MF;Köln;de Bundesliga;18;2004;7;1;168;0;0;0;0;0;0;0.2;0.2
